# Gotham Chess Engine Opening Book
# Format: FEN,move1,move2,move3,...
# Multiple moves per position for variety

# Starting position - main opening moves
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,d2d4,c2c4,g1f3

# After 1.e4 - Black's main responses
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1,e7e5,c7c5,e7e6,c7c6,d7d5,g8f6

# After 1.e4 e5 - White's second move
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2,g1f3,f2f4,b1c3,f1c4

# After 1.e4 e5 2.Nf3 - Black's responses
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,b8c6,g8f6,d7d6

# After 1.e4 e5 2.Nf3 Nc6 - Spanish/Italian
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,f1b5,f1c4,d2d4,b1c3

# Ruy Lopez: 1.e4 e5 2.Nf3 Nc6 3.Bb5
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,a7a6,g8f6,f7f5

# Ruy Lopez: After 3...a6
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,f1a4,b5c6

# Italian Game: 1.e4 e5 2.Nf3 Nc6 3.Bc4
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,f1c5,g8f6

# Sicilian Defense: 1.e4 c5
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2,g1f3,b1c3,c2c3,d2d4

# Sicilian: 1.e4 c5 2.Nf3
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6,b8c6,e7e6,g7g6

# Sicilian: Open - 1.e4 c5 2.Nf3 d6 3.d4
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq d3 0 3,c5d4

# Sicilian: Open - 1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4
rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,g8f6,b8c6

# French Defense: 1.e4 e6
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,d2d3,b1c3

# French: 1.e4 e6 2.d4
rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3 0 2,d7d5

# French: 1.e4 e6 2.d4 d5
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6 0 3,b1c3,e4d5,e4e5

# Caro-Kann: 1.e4 c6
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,b1c3,g1f3

# Caro-Kann: 1.e4 c6 2.d4 d5
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq d6 0 3,b1c3,e4d5

# After 1.d4 - Black's responses
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq d3 0 1,d7d5,g8f6,e7e6,f7f5

# Queen's Gambit: 1.d4 d5 2.c4
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq c3 0 2,e7e6,c7c6,d5c4

